date,residuals,segment
2010-12-26,96.00670585896742,train
2010-12-27,95.99694657213531,train
2010-12-28,96.05070507931484,train
2010-12-29,96.0184304007901,train
2010-12-30,96.02527327334631,train
2010-12-31,96.06492609912918,train
2011-01-01,96.20158164049401,train
2011-01-03,96.16615599923274,train
2011-01-04,95.95048936495436,train
2011-01-05,96.07959883857004,train
2011-01-06,96.18963997252438,train
2011-01-07,96.0835544690965,train
2011-01-08,96.02452028725173,train
2011-01-09,96.09983042154704,train
2011-01-10,96.18886285630026,train
2011-01-11,96.0811802624329,train
2011-01-12,96.17728354544379,train
2011-01-13,96.07932098192913,train
2011-01-14,96.07612680105012,train
2011-01-15,96.08509744682013,train
2011-01-16,96.06398781524881,train
2011-01-17,96.1090517325433,train
2011-01-18,96.0998178162555,train
