residuals,segment
97.61674202292804,train
97.18658824950923,train
97.09202047108482,train
97.26235325475393,train
96.80586882804121,train
97.33054500083483,train
98.09617744419425,train
96.20014639299426,train
96.86664145966645,train
96.65787046009319,train
97.22418587254253,train
97.93354757411632,train
97.63883369674896,train
99.99478573728963,train
103.08254194048132,train
97.44177337317768,train
96.92807676947608,train
100.1992954280163,train
101.67228785265122,train
102.06212702248071,train
94.59234073537357,train
99.05119971114061,train
96.33396272749394,train
93.65105103319395,train
100.63744383748788,train
98.53201584395133,train
96.36638785917712,train
95.97613811699425,train
99.11673570236735,train
98.32013313812092,train
98.64118919362016,train
97.32119763692306,train
96.35050375121823,train
97.55155753925997,train
99.6257460188215,train
98.40268843384851,train
98.03633688384141,train
97.53854167535569,train
97.70241910914599,train
96.87095535058636,train
